Name,Origin_Season,Origin_League,team,Pre_PL_G_A,Pre_PL_npxG,Pre_PL_xA,PL_Team,PL_Raw_GA,PL_Team_Avg_GA,Target_Relative_GA,Season_Control
Aaron Hickey,2021,ITA-Serie A,Bologna,0.0,0.0045732924272123806,0.005498906213294119,Brentford,0.045965270684371805,0.3086011732628274,-0.2626359025784556,2020
Aaron Ramsey,2223,FRA-Ligue 1,Nice,0.11385199240986718,0.17796564893178515,0.11854156570781227,Burnley,0.0,0.18817715263257934,-0.18817715263257934,2022
Abdoulaye Doucouré,1516,FRA-Ligue 1,Rennes,0.38338658146964855,0.1979144271939231,0.14449210498279658,Watford,0.06671608598962195,0.18351577591757887,-0.11679968992795692,2015
Abdul Rahman Baba,1415,GER-Bundesliga,Augsburg,0.13493253373313344,0.009910743742918726,0.11148363313424042,Chelsea,0.08840864440078584,0.2633222656892074,-0.17491362128842158,2014
Adam Masina,1718,ITA-Serie A,Bologna,0.03160112359550562,0.06474099576857799,0.05598947983313603,Watford,0.08964143426294821,0.2379903040987219,-0.1483488698357737,2017
Adama Diakhaby,1718,FRA-Ligue 1,Monaco,0.5294117647058824,0.2056390386732186,0.0956898746683317,Huddersfield,0.0,0.08613050721298693,-0.08613050721298693,2017
Adama Traoré,1415,FRA-Ligue 1,Lille,0.1749271137026239,0.07558956725995325,0.0709106849707424,Aston Villa,0.5389221556886228,0.13166602807481975,0.40725612761380303,2014
Adama Traoré,1920,FRA-Ligue 1,Metz,0.43186180422264875,0.11762172350170173,0.19663885797082578,Wolverhampton Wanderers,0.13688212927756654,0.16829491680659442,-0.031412787529027875,2019
Ademola Lookman,1718,GER-Bundesliga,RasenBallsport Leipzig,1.2435233160621761,0.44733912756405964,0.4369497328147369,Everton,0.31304347826086953,0.2525341096418926,0.06050936861897693,2017
Adrián,1415,ESP-La Liga,Elche,0.047021943573667714,0.1031936878677119,0.03885527550123142,West Ham,0.0,0.28154914596759056,-0.28154914596759056,2014
Adrián,1516,ESP-La Liga,Villarreal,0.9171974522292995,0.3556728930610001,0.18614165646255398,West Ham,0.0,0.22743920304717255,-0.22743920304717255,2015
Adrián,1617,ESP-La Liga,Villarreal,0.39823008849557523,0.29658394000303434,0.07432084497624794,West Ham,0.0,0.2332516774949409,-0.2332516774949409,2016
Adrián,1718,ESP-La Liga,Malaga,0.11543394613082515,0.1207295636431039,0.04654199700418728,Liverpool,0.0,0.41220506017246283,-0.41220506017246283,2017
Adrián,1920,ESP-La Liga,Osasuna,0.12203389830508474,0.14210849258480435,0.15104952035313948,Liverpool,0.0,0.2962865420068475,-0.2962865420068475,2019
Alberto Paloschi,1415,ITA-Serie A,Chievo,0.408781226343679,0.31211478025832246,0.07331328378407952,Swansea,0.26666666666666666,0.19064190339297196,0.0760247632736947,2014
Aleksandar Dragovic,1617,GER-Bundesliga,Bayer Leverkusen,0.07171314741035857,0.026974061333325753,0.034552706086421865,Leicester,0.0,0.2708592777085928,-0.2708592777085928,2016
Alessandro Diamanti,1415,ITA-Serie A,Fiorentina,0.2643171806167401,0.31917243145635993,0.07279148431995366,Watford,0.0,0.15888300433317284,-0.15888300433317284,2014
Alex Telles,1516,ITA-Serie A,Inter,0.056962025316455694,0.019557032763627885,0.12214781954601595,Manchester United,0.25862068965517243,0.37366951007775345,-0.11504882042258102,2015
Alexander Isak,2021,ESP-La Liga,Real Sociedad,0.6781079949769778,0.5923804424331995,0.0693747529806004,Newcastle United,0.6470588235294118,0.3000851305334847,0.3469736929959271,2020
Alexandre Lacazette,1617,FRA-Ligue 1,Lyon,1.1548013245033113,0.4974197141289563,0.24803273119217414,Arsenal,0.7248322147651007,0.38859686762497314,0.3362353471401276,2016
Alfred N'Diaye,1516,ESP-La Liga,Real Betis,0.059800664451827246,0.07361272255274347,0.009793151343284652,Hull,0.06998444790046655,0.15676407973679116,-0.0867796318363246,2015
Alisson,1718,ITA-Serie A,Roma,0.0,0.0,0.00017244351171963784,Liverpool,0.0,0.40823791930350806,-0.40823791930350806,2017
Allan,1920,ITA-Serie A,Napoli,0.2097902097902098,0.03997895834068735,0.07326063758635021,Everton,0.0,0.20810118119010476,-0.20810118119010476,2019
Allan Saint-Maximin,1819,FRA-Ligue 1,Nice,0.2766393442622951,0.1823233118563219,0.2042275587226585,Newcastle United,0.3322784810126582,0.18125747372395998,0.15102100728869824,2018
Andrea Ranocchia,1516,ITA-Serie A,Inter,0.0,0.05560240809311661,0.012613640251233176,Hull,0.2706766917293233,0.15676407973679116,0.11391261199253214,2015
Andreas Christensen,1617,GER-Bundesliga,Borussia M.Gladbach,0.06467840459935321,0.05289238363911341,0.014527461327882796,Chelsea,0.0,0.2718401486988848,-0.2718401486988848,2016
Andreas Pereira,1718,ESP-La Liga,Valencia,0.33519553072625696,0.08012027125909675,0.1634639730500109,Manchester United,0.30354131534569984,0.3027831583239882,0.000758157021711614,2017
Andreas Pereira,2021,ITA-Serie A,Lazio,0.5443548387096774,0.13923797827784815,0.2390841800426584,Fulham,0.325497287522604,0.2651004329618851,0.06039685456071886,2020
Andriy Yarmolenko,1718,GER-Bundesliga,Borussia Dortmund,0.4314477468839885,0.4351871548183012,0.27586659196896385,West Ham,0.39647577092511016,0.2535646796083147,0.14291109131679547,2017
André Ayew,1415,FRA-Ligue 1,Marseille,0.45112781954887216,0.3606001557992365,0.12012294619659282,Swansea,0.4246713852376137,0.19064190339297196,0.23402948184464176,2014
André Gomes,1718,ESP-La Liga,Barcelona,0.0,0.10729591654879707,0.02329831517168453,Everton,0.08995502248875561,0.2525341096418926,-0.162579087153137,2017
André Gomes,2223,FRA-Ligue 1,Lille,0.27658266748617083,0.057620491383719746,0.05537707711207624,Everton,0.18907563025210083,0.18791897139089345,0.001156658861207388,2022
André Onana,2223,ITA-Serie A,Inter,0.0,0.0,0.0040817488916218255,Manchester United,0.0,0.2547634991173069,-0.2547634991173069,2022
André Schürrle,1718,GER-Bundesliga,Borussia Dortmund,0.3643724696356275,0.20776132880314163,0.2545364505426604,Fulham,0.32335329341317365,0.1501273009276872,0.17322599248548645,2017
Angelo Ogbonna,1415,ITA-Serie A,Juventus,0.0,0.04785257262695641,0.006065510908137468,West Ham,0.0,0.28154914596759056,-0.28154914596759056,2014
Anssumane Fati,2223,ESP-La Liga,Barcelona,0.6706408345752608,0.7058608803020904,0.11366825643788063,Brighton,0.39473684210526316,0.23581288343558282,0.15892395866968034,2022
Anthony Martial,1415,FRA-Ligue 1,Monaco,0.593732820230896,0.46135517705586204,0.11852374635206728,Manchester United,0.5129179331306991,0.23960612691466082,0.2733118062160383,2014
Antonio Barragán,1516,ESP-La Liga,Valencia,0.0,0.0,0.018561657155905305,Middlesbrough,0.0,0.1446080263059562,-0.1446080263059562,2015
Antonio Barreca,1718,ITA-Serie A,Torino,0.0,0.003589546006969998,0.011132784130856974,Newcastle United,0.0,0.21649586450060962,-0.21649586450060962,2017
Antonio Rüdiger,1617,ITA-Serie A,Roma,0.08155867693701858,0.029552497727586287,0.03769245249774995,Chelsea,0.11553273427471118,0.2718401486988848,-0.15630741442417362,2016
Anwar El Ghazi,1718,FRA-Ligue 1,Lille,0.43902439024390244,0.23492088737306982,0.1689453250331032,Aston Villa,0.345821325648415,0.19203614798079638,0.15378517766761862,2017
Arnaut Danjuma Groeneveld,2223,ESP-La Liga,Villarreal,0.37815126050420167,0.42712489573457163,0.06604090309506203,Everton,0.15734265734265734,0.18791897139089345,-0.030576314048236103,2022
Ashley Young,2021,ITA-Serie A,Inter,0.313588850174216,0.09567706953435617,0.13408279595474748,Aston Villa,0.04403131115459882,0.22527828494022026,-0.18124697378562143,2020
Axel Disasi,2223,FRA-Ligue 1,Monaco,0.1622108741363773,0.07157494357657544,0.029549869020785897,Chelsea,0.06960556844547564,0.318399159779995,-0.24879359133451937,2022
Aymeric Laporte,1617,ESP-La Liga,Athletic Club,0.06282722513089005,0.06927033883387818,0.019188215078405686,Manchester City,0.0,0.5279591257451036,-0.5279591257451036,2016
Aymeric Laporte,1718,ESP-La Liga,Athletic Club,0.05263157894736842,0.03191423671025979,0.05461742611307847,Manchester City,0.17652827721477607,0.426128890837352,-0.24960061362257593,2017
Bastian Schweinsteiger,1415,GER-Bundesliga,Bayern Munich,0.5951506245407788,0.14379587387125514,0.1467432088268583,Manchester United,0.0750625521267723,0.23960612691466082,-0.1645435747878885,2014
Benjamin Mendy,1617,FRA-Ligue 1,Monaco,0.2185526954832443,0.023970763027602867,0.1686077550209194,Manchester City,0.25210084033613445,0.5279591257451036,-0.2758582854089692,2016
Benoit Badiashile Mukinayi,2021,FRA-Ligue 1,Monaco,0.09394572025052192,0.08767701989712509,0.02368763983560753,Chelsea,0.09988901220865705,0.16481082198659067,-0.06492180977793362,2020
Benoit Badiashile Mukinayi,2223,FRA-Ligue 1,Monaco,0.21634615384615385,0.06039121300161172,0.05900863056572585,Chelsea,0.06726457399103139,0.318399159779995,-0.25113458578896364,2022
