Name,Origin_Season,Origin_League,team,Pre_PL_G_A,Pre_PL_npxG,Pre_PL_xA,PL_Team,PL_Raw_GA,PL_Team_Avg_GA,Target_Relative_GA,Season_Control,Pre_PL_Expected_GA,Finishing_Overperf,League_Quality_Score
Aaron Hickey,2021,ITA-Serie A,Bologna,0.0,0.0045732924272123,0.0054989062132941,Brentford,0.0459652706843718,0.3086011732628274,-0.2626359025784556,2020,0.010072198640506399,-0.010072198640506399,0.9
Aaron Ramsey,2223,FRA-Ligue 1,Nice,0.1138519924098671,0.1779656489317851,0.1185415657078122,Burnley,0.0,0.1881771526325793,-0.1881771526325793,2022,0.2965072146395973,-0.18265522222973019,0.8
Abdoulaye Doucouré,1516,FRA-Ligue 1,Rennes,0.3833865814696485,0.1979144271939231,0.1444921049827965,Watford,0.0667160859896219,0.1835157759175788,-0.1167996899279569,2015,0.34240653217671957,0.04098004929292892,0.8
Abdul Rahman Baba,1415,GER-Bundesliga,Augsburg,0.1349325337331334,0.0099107437429187,0.1114836331342404,Chelsea,0.0884086444007858,0.2633222656892074,-0.1749136212884215,2014,0.1213943768771591,0.013538156855974315,1.0
Adam Masina,1718,ITA-Serie A,Bologna,0.0316011235955056,0.0647409957685779,0.055989479833136,Watford,0.0896414342629482,0.2379903040987219,-0.1483488698357737,2017,0.1207304756017139,-0.0891293520062083,0.9
Adama Diakhaby,1718,FRA-Ligue 1,Monaco,0.5294117647058824,0.2056390386732186,0.0956898746683317,Huddersfield,0.0,0.0861305072129869,-0.0861305072129869,2017,0.3013289133415503,0.22808285136433204,0.8
Adama Traoré,1415,FRA-Ligue 1,Lille,0.1749271137026239,0.0755895672599532,0.0709106849707424,Aston Villa,0.5389221556886228,0.1316660280748197,0.407256127613803,2014,0.1465002522306956,0.0284268614719283,0.8
Adama Traoré,1920,FRA-Ligue 1,Metz,0.4318618042226487,0.1176217235017017,0.1966388579708257,Wolverhampton Wanderers,0.1368821292775665,0.1682949168065944,-0.0314127875290278,2019,0.3142605814725274,0.1176012227501213,0.8
Ademola Lookman,1718,GER-Bundesliga,RasenBallsport Leipzig,1.243523316062176,0.4473391275640596,0.4369497328147369,Everton,0.3130434782608695,0.2525341096418926,0.0605093686189769,2017,0.8842888603787965,0.3592344556833794,1.0
Adrián,1415,ESP-La Liga,Elche,0.0470219435736677,0.1031936878677119,0.0388552755012314,West Ham,0.0,0.2815491459675905,-0.2815491459675905,2014,0.1420489633689433,-0.09502701979527559,1.0
Adrián,1516,ESP-La Liga,Villarreal,0.9171974522292996,0.3556728930610001,0.1861416564625539,West Ham,0.0,0.2274392030471725,-0.2274392030471725,2015,0.541814549523554,0.3753829027057456,1.0
Adrián,1617,ESP-La Liga,Villarreal,0.3982300884955752,0.2965839400030343,0.0743208449762479,West Ham,0.0,0.2332516774949409,-0.2332516774949409,2016,0.3709047849792822,0.027325303516292976,1.0
Adrián,1718,ESP-La Liga,Malaga,0.1154339461308251,0.1207295636431039,0.0465419970041872,Liverpool,0.0,0.4122050601724628,-0.4122050601724628,2017,0.1672715606472911,-0.051837614516466,1.0
Adrián,1920,ESP-La Liga,Osasuna,0.1220338983050847,0.1421084925848043,0.1510495203531394,Liverpool,0.0,0.2962865420068475,-0.2962865420068475,2019,0.2931580129379437,-0.17112411463285898,1.0
