Name,Origin_Season,Origin_League,Pre_PL_G_A,Pre_PL_npxG,Pre_PL_xA,Finishing_Overperf,League_Quality_Score,Season_Control,PL_Raw_GA
Aaron Hickey,2021,ITA-Serie A,0.0,0.0045732924272123806,0.005498906213294119,-0.0100721986405065,0.9,2020,0.045965270684371805
Abdoulaye Doucouré,1516,FRA-Ligue 1,0.38338658146964855,0.1979144271939231,0.14449210498279658,0.040980049292928866,0.8,2015,0.06671608598962195
Adama Traoré,1920,FRA-Ligue 1,0.43186180422264875,0.11762172350170173,0.19663885797082578,0.11760122275012125,0.8,2019,0.13688212927756654
Ademola Lookman,1718,GER-Bundesliga,1.2435233160621761,0.44733912756405964,0.4369497328147369,0.3592344556833795,1.0,2017,0.31304347826086953
Adrián,1415,ESP-La Liga,0.047021943573667714,0.1031936878677119,0.03885527550123142,-0.09502701979527561,1.0,2014,0.0
Alexander Isak,2021,ESP-La Liga,0.6781079949769778,0.5923804424331995,0.0693747529806004,0.016352799563177922,1.0,2020,0.6470588235294118
Alexandre Lacazette,1617,FRA-Ligue 1,1.1548013245033113,0.4974197141289563,0.24803273119217414,0.4093488791821809,0.8,2016,0.7248322147651007
Alisson,1718,ITA-Serie A,0.0,0.0,0.00017244351171963784,-0.00017244351171963784,0.9,2017,0.0
Allan,1920,ITA-Serie A,0.2097902097902098,0.03997895834068735,0.07326063758635021,0.09655061386317224,0.9,2019,0.0
Allan Saint-Maximin,1819,FRA-Ligue 1,0.2766393442622951,0.1823233118563219,0.2042275587226585,-0.10991152631668533,0.8,2018,0.3322784810126582
Andreas Christensen,1617,GER-Bundesliga,0.06467840459935321,0.05289238363911341,0.014527461327882796,-0.002741440367642997,1.0,2016,0.0
Andreas Pereira,2021,ITA-Serie A,0.5443548387096774,0.13923797827784815,0.2390841800426584,0.16603268038917085,0.9,2020,0.325497287522604
André Ayew,1415,FRA-Ligue 1,0.45112781954887216,0.3606001557992365,0.12012294619659282,-0.02959528244695714,0.8,2014,0.4246713852376137
André Gomes,1718,ESP-La Liga,0.0,0.10729591654879707,0.02329831517168453,-0.1305942317204816,1.0,2017,0.08995502248875561
André Onana,2223,ITA-Serie A,0.0,0.0,0.0040817488916218255,-0.0040817488916218255,0.9,2022,0.0
André Schürrle,1718,GER-Bundesliga,0.3643724696356275,0.20776132880314163,0.2545364505426604,-0.09792530971017449,1.0,2017,0.32335329341317365
Angelo Ogbonna,1415,ITA-Serie A,0.0,0.04785257262695641,0.006065510908137468,-0.05391808353509388,0.9,2014,0.0
Anthony Martial,1415,FRA-Ligue 1,0.593732820230896,0.46135517705586204,0.11852374635206728,0.013853896822966671,0.8,2014,0.5129179331306991
Antonio Barragán,1516,ESP-La Liga,0.0,0.0,0.018561657155905305,-0.018561657155905305,1.0,2015,0.0
Antonio Rüdiger,1617,ITA-Serie A,0.08155867693701858,0.029552497727586287,0.03769245249774995,0.01431372671168235,0.9,2016,0.11553273427471118
Anwar El Ghazi,1718,FRA-Ligue 1,0.43902439024390244,0.23492088737306982,0.1689453250331032,0.0351581778377294,0.8,2017,0.345821325648415
Ashley Young,2021,ITA-Serie A,0.313588850174216,0.09567706953435617,0.13408279595474748,0.08382898468511235,0.9,2020,0.04403131115459882
Axel Disasi,2223,FRA-Ligue 1,0.1622108741363773,0.07157494357657544,0.029549869020785897,0.06108606153901597,0.8,2022,0.06960556844547564
Aymeric Laporte,1718,ESP-La Liga,0.05263157894736842,0.03191423671025979,0.05461742611307847,-0.033900083875969836,1.0,2017,0.17652827721477607
