Feature,R² (if removed),RMSE (if removed),Tree Importance
Pre_PL_G_A,0.22718084558031226,0.1859767956958302,0.2836
Origin_League,0.453013898506347,0.15646167224285173,0.2827
Origin_League_Avg_Shots_p90,0.46234014180280336,0.15512208322891807,0.0
(None - Baseline),0.4668913687734303,0.1544641428992132,N/A
League_Quality_Score,0.4668913687734303,0.1544641428992132,0.0
Origin_League_Avg_xA_p90,0.475176618888846,0.15325914886212352,0.0
Origin_League_Avg_xG_p90,0.4843377122688368,0.15191564694286128,0.0
Origin_League_Avg_KP_p90,0.4878549473449102,0.15139666649331554,0.0
Pre_PL_KeyPasses_p90,0.48876439318867315,0.15126218481916923,0.099
Pre_PL_xA,0.5093403084594907,0.14818696816650978,0.081
Pre_PL_npxG,0.5142121375730295,0.1474494482361339,0.2536
