Feature,R² (if removed),RMSE (if removed),Tree Importance
Pre_PL_xA,0.15255905983498874,0.19474868885853655,0.0493
Pre_PL_KeyPasses_p90,0.18410667000675185,0.1910893632651633,0.0873
Origin_League_Avg_Shots_p90,0.19803636689498005,0.1894511122203716,0.0
Pre_PL_G_A,0.2663715968714997,0.18119987364188697,0.193
Finishing_Overperf,0.29099043186709395,0.17813361028340152,0.0388
Origin_League_Avg_xA_p90,0.2951829452619579,0.17760615981464412,0.0
Origin_League_Avg_xG_p90,0.3000880701315368,0.1769870619844319,0.0
(None - Baseline),0.30293673635068685,0.1766265229691602,N/A
Origin_League_Avg_KP_p90,0.31483043271541944,0.17511318792631053,0.0
League_Quality_Score,0.3180717812984005,0.17469849075025,0.0177
Origin_League,0.3668248483741854,0.16833784122310821,0.2735
Pre_PL_npxG,0.38044580176387455,0.1665173435722904,0.2284
Pre_PL_Shots_p90,0.4782639249960847,0.1528077057455006,0.112
